Title,Production type,Status,Origin,Market presence,Age of production,Web page Link,Image Link
& Juliet,Musical,Active,Original,USA,"Oct 28, 2022",https://www.ibdb.com/broadway-production/-juliet-534962,https://www.broadway.org/assets/shows/andjuliet-1000.jpg?width=2000&quality=80&fit=scale-down
Aladdin,Musical,Active,Original,USA,"Feb 26, 2014",https://www.ibdb.com/broadway-production/aladdin-495244,https://www.broadway.org/assets/shows/aladdin-1000.jpg?width=2000&quality=80&fit=scale-down
BOOP! The Musical,Musical,Active,Original,USA,"Mar 11, 2025",https://www.ibdb.com/broadway-production/boop-the-musical-539978,https://www.broadway.org/assets/shows/boop-1000-dec24.jpg?width=2000&quality=80&fit=scale-down
Buena Vista Social Club,Musical,Active,Original,USA,"Feb 21, 2025",https://www.ibdb.com/broadway-production/buena-vista-social-club-540360,https://www.broadway.org/assets/shows/buenavistasocialclub-1000.jpg?width=2000&quality=80&fit=scale-down
Cabaret,Musical,Active,Drama,USA,"Apr 01, 2024",https://www.ibdb.com/broadway-production/cabaret-538277,https://www.broadway.org/assets/shows/cabaret-2025-1000.jpg?width=2000&quality=80&fit=scale-down
Call Me Izzy,Play,Active,Solo,USA,"May 24, 2025",https://www.ibdb.com/broadway-production/call-me-izzy-542346,https://www.broadway.org/assets/shows/callmeizzy-1000.jpg?width=2000&quality=80&fit=scale-down
Chicago,Musical,Active,Comedy,USA,"Oct 23, 1996",https://www.ibdb.com/broadway-production/chicago-4804,https://www.broadway.org/assets/shows/chicago-1000.jpg?width=2000&quality=80&fit=scale-down
Dead Outlaw,Musical,Active,Original,USA,"Apr 12, 2025",https://www.ibdb.com/broadway-production/dead-outlaw-541173,https://www.broadway.org/assets/shows/deadoutlaw2024-1000.jpg?width=2000&quality=80&fit=scale-down
Death Becomes Her,Musical,Active,Comedy,USA,"Oct 23, 2024",https://www.ibdb.com/broadway-production/death-becomes-her-539795,https://www.broadway.org/assets/shows/dbh-update-1000.jpg?width=2000&quality=80&fit=scale-down
Floyd Collins,Musical,Active,Drama,USA,"Mar 28, 2025",https://www.ibdb.com/broadway-production/floyd-collins-539860,https://www.broadway.org/assets/shows/floyd-collins-1000.jpg?width=2000&quality=80&fit=scale-down
